127.0.0.1 - - [22/Nov/2017:09:20:35 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/ HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/bower_components/angular/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/bower_components/angular-material/angular-material.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/bower_components/angular-material/angular-material.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/bower_components/angular-animate/angular-animate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/bower_components/angular-aria/angular-aria.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/controller/setPasswordController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/services/homeService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/controller/loginController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/bower_components/angular-messages/angular-messages.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/scripts/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/directives/homeDirectives.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/controller/homeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:36 +0530] "GET /ToDo/templates/Login.html HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:20:40 +0530] "GET /ToDo/templates/Registration.html HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:21:12 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:21:33 +0530] "POST /ToDo/login HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:21:33 +0530] "GET /ToDo/templates/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:21:33 +0530] "GET /ToDo/templates/TopNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:21:33 +0530] "GET /ToDo/templates/SideNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:21:33 +0530] "GET /ToDo/images/ic_dehaze_black_48px.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:21:33 +0530] "GET /ToDo/images/ic_search_black_48px.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:21:33 +0530] "GET /ToDo/noteList HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:21:49 +0530] "GET /ToDo/ HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:21:49 +0530] "GET /ToDo/noteList HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:22:52 +0530] "GET /ToDo/noteList HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:22:54 +0530] "GET /ToDo/templates/ForgotPassword.html HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:24:48 +0530] "GET /ToDo/ HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:24:48 +0530] "GET /ToDo/bower_components/angular-animate/angular-animate.js HTTP/1.1" 200 151136
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:24:48 +0530] "GET /ToDo/bower_components/angular-aria/angular-aria.js HTTP/1.1" 200 15470
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:24:48 +0530] "GET /ToDo/bower_components/angular-messages/angular-messages.js HTTP/1.1" 200 27902
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:24:48 +0530] "GET /ToDo/bower_components/angular-ui-router/release/angular-ui-router.js HTTP/1.1" 200 418220
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:24:48 +0530] "GET /ToDo/scripts/app.js HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:24:48 +0530] "GET /ToDo/controller/loginController.js HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:24:48 +0530] "GET /ToDo/controller/homeController.js HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [22/Nov/2017:09:24:48 +0530] "GET /ToDo/controller/setPasswordController.js HTTP/1.1" 200 138
